,company,2021,2022,2023
0,NATCOPHARM.NS,-4.318576388888888,-61.442503969154004,320.7647058823529
1,AUROPHARMA.NS,88.44565643577997,-50.361210458045605,-12.186243226403338
2,ZYDUSLIFE.NS,81.33605303416624,5.061867266591676,-12.343861527480371
3,GLAXO.NS,284.2592532986569,6.316283830703178,70.11688717224543
4,GLAND.NS,28.99691793317789,21.535503323593755,-38.43375721322083
5,ALKEM.NS,40.63190396337406,3.823295605102775,-12.924004326636771
6,BIOCON.NS,0.2673082063619353,-13.56971474273527,-23.13386798272671
7,IPCALAB.NS,88.02117693627127,-22.449803071902878,-44.321780834313635
8,TORNTPHARM.NS,22.168006870169414,-37.91896986931655,72.83383514758486
9,SUNPHARMA.NS,-22.87187278382334,12.70429985329669,161.20486566261195
10,CIPLA.NS,55.502030364948396,4.652226523679034,37.20949637429224
11,LAURUSLABS.NS,285.30514390476077,-15.866528396266698,-55.55152745552978
12,SANOFI.NS,97.73869346733667,-34.286319356205,-3.9477924589107314
13,PFIZER.NS,-2.2626834010959875,23.1004200076365,1.8561447041922425
14,DIVISLAB.NS,44.15055138245165,49.19442218627317,-38.40868786839838
15,DRREDDY.NS,-1.7899271720176426,23.076923076923077,91.24660556687033
16,ABBOTINDIA.NS,16.487101569385796,15.637985203202595,18.869412795793163
17,GRANULES.NS,63.82283392611113,-24.879217557633964,-4.557853405107449
18,GLENMARK.NS,25.01617330566903,-2.9251985386892736,-68.43564533068
19,LUPIN.NS,-404.520763974067,-225.60643798344472,-128.14586005601947
